file,n_pages,total_words,max_words_in_a_page,mean_words_per_page
001__L1__Chapter_1_Safety__pp23-40__L2__04__1.4_Modifications_to_the_Machine__pp33-33.pdf,1,366,366,366.0
005__L1__Chapter_5_Programming__pp139-192__L2__09__5.8_Coordinate_Systems__pp190-190.pdf,1,337,337,337.0
004__L1__Chapter_4_Operation__pp103-138__L2__14__4.13_Run-Stop-Jog-Continue__pp136-136.pdf,1,337,337,337.0
006__L1__Chapter_6_Options_Programming__pp193-278__L2__10__6.9_Visual_Programming_System_(VPS)__pp270-271.pdf,2,320,199,160.0
006__L1__Chapter_6_Options_Programming__pp193-278__L2__05__6.5_Feature_List__pp213-214.pdf,2,296,194,148.0
004__L1__Chapter_4_Operation__pp103-138__L2__15__4.14_More_Information_Online__pp137-138.pdf,2,287,287,143.5
002__L1__Chapter_2_Introduction__pp41-88__L2__04__2.4_Help__pp87-87.pdf,1,286,286,286.0
004__L1__Chapter_4_Operation__pp103-138__L2__13__4.12_Features__pp135-135.pdf,1,277,277,277.0
009__L1__Chapter_9_Settings__pp387-450__L2__03__9.3_User_Positions__pp446-447.pdf,2,274,194,137.0
006__L1__Chapter_6_Options_Programming__pp193-278__L2__12__6.11_More_Information_Online__pp276-278.pdf,3,273,250,91.0
005__L1__Chapter_5_Programming__pp139-192__L2__13__5.12_More_Information_Online__pp192-192.pdf,1,273,273,273.0
001__L1__Chapter_1_Safety__pp23-40__L2__02__1.2_Unattended_Operation__pp30-30.pdf,1,271,271,271.0
004__L1__Chapter_4_Operation__pp103-138__L2__08__4.8_Drawtube_Operation__pp123-123.pdf,1,247,247,247.0
009__L1__Chapter_9_Settings__pp387-450__L2__09__10.4_Toolroom_Lathe__pp449-449.pdf,1,201,201,201.0
002__L1__Chapter_2_Introduction__pp41-88__L2__05__2.5_More_Information_Online__pp88-88.pdf,1,192,192,192.0
004__L1__Chapter_4_Operation__pp103-138__L2__01__4.1_Machine_Power-On__pp103-103.pdf,1,168,168,168.0
008__L1__Chapter_8_M-codes__pp365-386__L2__02__8.2_More_Information_Online__pp385-386.pdf,2,131,131,65.5
007__L1__Chapter_7_G-codes__pp279-364__L2__02__7.2_More_Information_Online__pp363-364.pdf,2,107,107,53.5
009__L1__Chapter_9_Settings__pp387-450__L2__04__9.4_More_Information_Online__pp448-448.pdf,1,42,42,42.0
009__L1__Chapter_9_Settings__pp387-450__L2__10__10.5_More_Information_Online__pp450-450.pdf,1,42,42,42.0
